id,value
sport,
sport.Performance,
sport.Performance.Dance,
sport.Performance.Gymnastics,
sport.Performance.SyncSwimming,
sport.Performance.FigureSkating,
sport.Equesterian,
sport.Speed,
sport.Speed.Foot,
sport.Speed.Foot.Run,
sport.Speed.Foot.Run.Sprint,1
sport.Speed.Foot.Run.MidLong,2
sport.Speed.Foot.Run.CrossCountry,3
sport.Speed.Foot.Run.Marathon,4
sport.Speed.Foot.Walk,
sport.Speed.Ski,
sport.Speed.Ski.Alpine,
sport.Speed.Ski.CrossCountry,
sport.Speed.Ski.Freestyle,
sport.Speed.Skate,
sport.Speed.Skate.LongTrack,
sport.Speed.Skate.ShortTrack,
sport.Fall,
sport.Fall.SkiJump,
sport.Fall.WaterDive,
sport.Fall.SkyDive
sport.WaterSurface,
sport.WaterSurface.Surf,
sport.WaterSurface.WindSurf,
sport.WaterSurface.Kite,
sport.Strength,
sport.Strength.WeightLift,
sport.Strength.PowerLift,
sport.Fight,
sport.Fight.Strike,
sport.Fight.Strike.Hand,
sport.Fight.Strike.Hand.WingChun,
sport.Fight.Strike.Hand.Boxing,
sport.Fight.Strike.Mixed,
sport.Fight.Strike.Mixed.Karate,
sport.Fight.Strike.Mixed.KickBoxing,
sport.Fight.Wrestling,
sport.Fight.Wrestling.GrecoRoman,
sport.Fight.Wrestling.Freestyle,
sport.Fight.Various,
sport.Fight.Various.Aikido,
sport.Fight.Various.Judo,
sport.Fight.Various.Juijitsu,
sport.Fight.Various.Taekwondo,
sport.Fight.Various.Sambo,
sport.Fencing,
sport.Fencing.Sable,
sport.Fencing.Epee,
sport.Fencing.Foil,
sport.Shoot,
sport.Shoot.Target,
sport.Shoot.Target.Archery,
sport.Shoot.Target.CrossBow
sport.Shoot.Target.Pistol,
sport.Shoot.Target.Rifle,
sport.Shoot.Opponents,
sport.Shoot.Opponents.LaserTag,
sport.Shoot.Opponents.StrikeBall,
sport.Throw,
sport.Throw.Target,
sport.Throw.Target.Darts,
sport.Throw.Target.Bowling,
sport.Throw.Target.Skittles,
sport.Throw.Target.Boules,
sport.Throw.Target.Curling,
sport.Throw.Distance,
sport.Throw.Distance.Javelin,
sport.Throw.Distance.Shot,
sport.Throw.Distance.Hammer,
sport.Race,
sport.Race.Bycicle,
sport.Race.Bycicle.Track,
sport.Race.Bycicle.Road,
sport.Race.Bycicle.BMX,
sport.Race.Bycicle.Other,
sport.Race.Moto,
sport.Race.Car,
sport.Race.Boat,
sport.Race.Boat.Canoe,
sport.Race.Boat.Rowing,
sport.Race.Boat.Yacht,
sport.Race.Horse,
sport.Race.WinterSled,
sport.Race.WinterSled.Bobsled,
sport.Race.WinterSled.Sceleton,
sport.Race.WinterSled.Luge,
sport.Ball,
sport.Ball.Foot,
sport.Ball.Foot.Soccer,
sport.Ball.Foot.Soccer.FIFA,
sport.Ball.Foot.Soccer.Indoor,
sport.Ball.Foot.Soccer.Beach,
sport.Ball.FootAndTackle,
sport.Ball.FootAndTackle.AmericanFootball,
sport.Ball.FootAndTackle.Rugby,
sport.Ball.FootAndTackle.Rugby.Union,
sport.Ball.FootAndTackle.Rugby.League,
sport.Ball.Hand,
sport.Ball.Hand.Volleyball,
sport.Ball.Hand.Basketball,
sport.Ball.Hand.Handball,
sport.Ball.Hand.WaterPolo,
sport.Ball.Racket,
sport.Ball.Racket.Tennis,
sport.Ball.Racket.Five,
sport.Ball.Racket.Squash,
sport.Ball.Racket.TableTennis,
sport.Ball.Racket.Badminton,
sport.Ball.Racket.National,
sport.Ball.Racket.National.Pelota,
sport.Ball.Racket.National.Quinball,
sport.Ball.Club,
sport.Ball.Club.Golf,
sport.Ball.Club.Hockey,
sport.Ball.Club.Hockey.Ice,
sport.Ball.Club.Hockey.Bandy,
sport.Ball.Club.Hockey.Field,
sport.Ball.Club.Polo,
sport.Ball.BatAndBall,
sport.Ball.BatAndBall.Baseball,
sport.Ball.BatAndBall.Softball,
sport.Ball.BatAndBall.Cricket,
sport.Ball.BatAndBall.National,
sport.Ball.BatAndBall.National.Lapta,
sport.Strategy,
sport.Strategy.Board,
sport.Strategy.Board.Chess,
sport.Strategy.Board.Checkers,
sport.Strategy.Board.Go,
sport.Strategy.Poker,
sport.Outdoor,
sport.Outdoor.Trekking,
sport.Outdoor.Trekking.Bushwalking,
sport.Outdoor.Rafting,
sport.Outdoor.Montaineering,
sport.Pets,
sport.Pets.Agility,
